"YSKƒ, KORVAKIPU; NUHA",KYSYMYSTEKSTI,TYYPPI,VAIHTOEHDOT,TEKSTI,KYSYMYSTEKSTI,TYYPPI,VAIHTOEHDOT,TEKSTI,KYSYMYSTEKSTI,TYYPPI,VAIHTOEHDOT,TEKSTI,KYSYMYSTEKSTI,TYYPPI,VAIHTOEHDOT,TEKSTI,KYSYMYSTEKSTI,TYYPPI,VAIHTOEHDOT,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Molemmat korvat ovat kipeit‰,,Valitse seuraavista parhaiten sopiva vaihtoehto,valinta,Korvakipu on helpottamassa,"1-2 vko ajan on ollut molempien korvien kipua, joka on helpottamassa.",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Korvakipu on pysynyt samanlaisena,1-2 vko ajan on ollut tasaista molempien korvien kipua.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Korvakipu on pahenemassa,1-2 vko ajan on ollut pahenevaa molempien korvien kipua.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Korvakipua on ollut yli 2 vko,,Valitse seuraavista parhaiten sopiva vaihtoehto,valinta,Oikea korva on kipe‰,,Valitse seuraavista parhaiten sopiva vaihtoehto,valinta,Korvakipu on helpottamassa,"Yli 2 vko ajan on ollut oikean korvan kipua, joka on helpottamassa.",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Korvakipu on pysynyt samanlaisena,Yli 2 vko ajan on ollut tasaista oikean korvan kipua.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Korvakipu on pahenemassa,Yli 2 vko ajan on ollut pahenevaa oikean korvan kipua.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Vasen korva on kipe‰,,Valitse seuraavista parhaiten sopiva vaihtoehto,valinta,Korvakipu on helpottamassa,"Yli 2 vko ajan on ollut vasemman korvan kipua, joka on helpottamassa.",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Korvakipu on pysynyt samanlaisena,Yli 2 vko ajan on ollut tasaista vasemman korvan kipua.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Korvakipu on pahenemassa,Yli 2 vko ajan on ollut pahenevaa vasemman korvan kipua.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Molemmat korvat ovat kipeit‰,,Valitse seuraavista parhaiten sopiva vaihtoehto,valinta,Korvakipu on helpottamassa,"Yli 2 vko ajan on ollut molempien korvien kipua, joka on helpottamassa.",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Korvakipu on pysynyt samanlaisena,Yli 2 vko ajan on ollut tasaista molempien korvien kipua.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Korvakipu on pahenemassa,Yli 2 vko ajan on ollut pahenevaa molempien korvien kipua.,,,,,,,,,,,,,,,,,,,,,
,,,,,Onko korvasta tullut m‰rk‰‰ tai eritett‰?,valinta,Kyll‰,Korvasta/korvista on tullut ulos eritett‰.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Ei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Ei,Ei korvakipua.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Onko sinulla p‰‰ns‰rky‰?,valinta,Kyll‰,,Kuinka kauan sinulla on ollut p‰‰ns‰rky‰?,valinta,P‰‰ns‰rky on alkanut minulla t‰n‰‰n.,,"Kuinka kova kipu pahimmillaan on? kipuasteikko vas 1-10, jossa 1=ei juuri kipua lainkaan vrt 10=pahin mahdollinen siet‰m‰tˆn kipu",ligert,,"T‰n‰‰n alkanut p‰‰ns‰rky, pahimmillaan VAS __ .",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Minulla on ollut p‰‰ns‰rky‰ 1-3 vuorokauden ajan.,,Onko p‰‰ns‰rky jatkuvaa vai ajoittaista vai aaltomaista?,valinta ,P‰‰ns‰rky on jatkuvaa,,"Kuinka kova kipu pahimmillaan on? Kipuasteikko VAS 1-10, jossa 1=ei juuri kipua lainkaan vrt 10=pahin mahdollinen siet‰m‰tˆn kipu",ligert,,"1-3 vrk ajan ollut jatkuvaa p‰‰ns‰rky‰, pahimmillaan VAS __ .",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"P‰‰ns‰rky on aaltoilevaa (v‰lill‰ helpottaa, mutta ei v‰isty kokonaan)",,"Kuinka kova kipu pahimmillaan on? Kipuasteikko VAS 1-10, jossa 1=ei juuri kipua lainkaan vrt 10=pahin mahdollinen siet‰m‰tˆn kipu",vapaateksti,,"1-3 vrk ajan ollut aaltoilevaa p‰‰ns‰rky‰, pahimmillaan VAS __ .",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,P‰‰ns‰rky on ajoittaista (kipu h‰vi‰‰ v‰lill‰ kokonaan),,"Kuinka kova kipu pahimmillaan on? Kipuasteikko VAS 1-10, jossa 1=ei juuri kipua lainkaan vrt 10=pahin mahdollinen siet‰m‰tˆn kipu",ligert,,"1-3 vrk ajan ollut ajoittaista p‰‰ns‰rky‰, pahimmillaan VAS __ .",,,,,,,,,,,,,,,,,,,,,
,,,,,,,Minulla on ollut p‰‰ns‰rky‰ 4-6 vuorokauden ajan.,,Onko p‰‰ns‰rky viime p‰ivin‰ pahentunut?,valinta ,Kyll‰,,Onko p‰‰ns‰rky jatkuvaa vai ajoittaista vai aaltomaista?,valinta ,P‰‰ns‰rky on jatkuvaa,,"Kuinka kova kipu pahimmillaan on? Kipuasteikko VAS 1-10, jossa 1=ei juuri kipua lainkaan vrt 10=pahin mahdollinen siet‰m‰tˆn kipu",ligert,,"4-6 vrk ajan ollut pahenevaa jatkuvaa p‰‰ns‰rky‰, pahimmillaan VAS __ .",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,P‰‰ns‰rky on aaltoilevaa,,"Kuinka kova kipu pahimmillaan on? Kipuasteikko VAS 1-10, jossa 1=ei juuri kipua lainkaan vrt 10=pahin mahdollinen siet‰m‰tˆn kipu",vapaateksti,,"4-6 vrk ajan ollut pahenevaa aaltoilevaa p‰‰ns‰rky‰, pahimmillaan VAS __ .",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,P‰‰ns‰rky on ajoittaista ,,"Kuinka kova kipu pahimmillaan on? Kipuasteikko VAS 1-10, jossa 1=ei juuri kipua lainkaan vrt 10=pahin mahdollinen siet‰m‰tˆn kipu",ligert,,"4-6 vrk ajan ollut pahenevaa ajoittaista p‰‰ns‰rky‰, pahimmillaan VAS __ .",,,,,,,,,,,,,,,,,
,,,,,,,,,,,Ei,,Onko p‰‰ns‰rky jatkuvaa vai ajoittaista vai aaltomaista?,valinta ,P‰‰ns‰rky on jatkuvaa,,"Kuinka kova kipu pahimmillaan on? Kipuasteikko VAS 1-10, jossa 1=ei juuri kipua lainkaan vrt 10=pahin mahdollinen siet‰m‰tˆn kipu",ligert,,"4-6 vrk ajan ollut jatkuvaa p‰‰ns‰rky‰, pahimmillaan VAS __ .",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,P‰‰ns‰rky on aaltoilevaa,,"Kuinka kova kipu pahimmillaan on? Kipuasteikko VAS 1-10, jossa 1=ei juuri kipua lainkaan vrt 10=pahin mahdollinen siet‰m‰tˆn kipu",vapaateksti,,"4-6 vrk ajan ollut aaltoilevaa p‰‰ns‰rky‰, pahimmillaan VAS __ .",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,P‰‰ns‰rky on ajoittaista ,,"Kuinka kova kipu pahimmillaan on? Kipuasteikko VAS 1-10, jossa 1=ei juuri kipua lainkaan vrt 10=pahin mahdollinen siet‰m‰tˆn kipu",ligert,,"4-6 vrk ajan ollut ajoittaista p‰‰ns‰rky‰, pahimmillaan VAS __ .",,,,,,,,,,,,,,,,,
,,,,,,,Minulla on ollut p‰‰ns‰rky‰ 1-2 viikon ajan.,,Onko p‰‰ns‰rky viime p‰ivin‰ pahentunut?,valinta ,Kyll‰,,Onko p‰‰ns‰rky jatkuvaa vai ajoittaista vai aaltomaista?,valinta ,P‰‰ns‰rky on jatkuvaa,,"Kuinka kova kipu pahimmillaan on? Kipuasteikko VAS 1-10, jossa 1=ei juuri kipua lainkaan vrt 10=pahin mahdollinen siet‰m‰tˆn kipu",ligert,,"1-2 viikon ajan ollut pahenevaa jatkuvaa p‰‰ns‰rky‰, pahimmillaan VAS __ .",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,P‰‰ns‰rky on aaltoilevaa,,"Kuinka kova p‰‰ns‰rky on pienimmill‰‰n ja pahimmillaan? kipuasteikko VAS 1-10, jossa 1=ei juuri kipua lainkaan vrt 10=pahin mahdollinen siet‰m‰tˆn kipu. Esim. vastaus: 2-8",vapaateksti,,"1-2 viikon ajan ollut pahenevaa aaltoilevaa p‰‰ns‰rky‰, pahimmillaan VAS __ .",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,P‰‰ns‰rky on ajoittaista ,,"Kuinka kova kipu pahimmillaan on? Kipuasteikko VAS 1-10, jossa 1=ei juuri kipua lainkaan vrt 10=pahin mahdollinen siet‰m‰tˆn kipu",ligert,,"1-2 viikon ajan ollut pahenevaa ajoittaista p‰‰ns‰rky‰, pahimmillaan VAS __ .",,,,,,,,,,,,,,,,,
,,,,,,,,,,,Ei,,Onko p‰‰ns‰rky jatkuvaa vai ajoittaista vai aaltomaista?,valinta ,P‰‰ns‰rky on jatkuvaa,,"Kuinka kova kipu pahimmillaan on? Kipuasteikko VAS 1-10, jossa 1=ei juuri kipua lainkaan vrt 10=pahin mahdollinen siet‰m‰tˆn kipu",ligert,,"1-2 viikon ajan ollut jatkuvaa p‰‰ns‰rky‰, pahimmillaan VAS __ .",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,P‰‰ns‰rky on aaltoilevaa,,"Kuinka kova p‰‰ns‰rky on pienimmill‰‰n ja pahimmillaan? kipuasteikko VAS 1-10, jossa 1=ei juuri kipua lainkaan vrt 10=pahin mahdollinen siet‰m‰tˆn kipu. Esim. vastaus: 2-8",vapaateksti,,"1-2 viikon ajan ollut aaltoilevaa p‰‰ns‰rky‰, pahimmillaan VAS __ .",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,P‰‰ns‰rky on ajoittaista ,,"Kuinka kova kipu pahimmillaan on? Kipuasteikko VAS 1-10, jossa 1=ei juuri kipua lainkaan vrt 10=pahin mahdollinen siet‰m‰tˆn kipu",ligert,,"1-2 viikon ajan ollut ajoittaista p‰‰ns‰rky‰, pahimmillaan VAS __ .",,,,,,,,,,,,,,,,,
,,,,,,,Minulla on ollut p‰‰ns‰rky‰ yli 2 viikon ajan.,,Onko p‰‰ns‰rky viime p‰ivin‰ pahentunut?,valinta ,Kyll‰,,Onko p‰‰ns‰rky jatkuvaa vai ajoittaista vai aaltomaista?,valinta ,P‰‰ns‰rky on jatkuvaa,,"Kuinka kova kipu pahimmillaan on? Kipuasteikko VAS 1-10, jossa 1=ei juuri kipua lainkaan vrt 10=pahin mahdollinen siet‰m‰tˆn kipu",ligert,,"Yli 2 viikon ajan ollut pahenevaa jatkuvaa p‰‰ns‰rky‰, pahimmillaan VAS __ .",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,P‰‰ns‰rky on aaltoilevaa,,"Kuinka kova p‰‰ns‰rky on pienimmill‰‰n ja pahimmillaan? kipuasteikko VAS 1-10, jossa 1=ei juuri kipua lainkaan vrt 10=pahin mahdollinen siet‰m‰tˆn kipu. Esim. vastaus: 2-8",vapaateksti,,"Yli 2 viikon ajan ollut pahenevaa aaltoilevaa p‰‰ns‰rky‰, pahimmillaan VAS __ .",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,P‰‰ns‰rky on ajoittaista ,,"Kuinka kova kipu pahimmillaan on? Kipuasteikko VAS 1-10, jossa 1=ei juuri kipua lainkaan vrt 10=pahin mahdollinen siet‰m‰tˆn kipu",ligert,,"Yli 2 viikon ajan ollut pahenevaa ajoittaista p‰‰ns‰rky‰, pahimmillaan VAS __ .",,,,,,,,,,,,,,,,,
,,,,,,,,,,,Ei,,Onko p‰‰ns‰rky jatkuvaa vai ajoittaista vai aaltomaista?,valinta ,P‰‰ns‰rky on jatkuvaa,,"Kuinka kova kipu pahimmillaan on? Kipuasteikko VAS 1-10, jossa 1=ei juuri kipua lainkaan vrt 10=pahin mahdollinen siet‰m‰tˆn kipu",ligert,,"Yli 2 viikon ajan ollut jatkuvaa p‰‰ns‰rky‰, pahimmillaan VAS __ .",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,P‰‰ns‰rky on aaltoilevaa,,"Kuinka kova p‰‰ns‰rky on pienimmill‰‰n ja pahimmillaan? kipuasteikko VAS 1-10, jossa 1=ei juuri kipua lainkaan vrt 10=pahin mahdollinen siet‰m‰tˆn kipu. Esim. vastaus: 2-8",vapaateksti,,"Yli 2 viikon ajan ollut aaltoilevaa p‰‰ns‰rky‰, pahimmillaan VAS __ .",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,P‰‰ns‰rky on ajoittaista ,,"Kuinka kova kipu pahimmillaan on? Kipuasteikko VAS 1-10, jossa 1=ei juuri kipua lainkaan vrt 10=pahin mahdollinen siet‰m‰tˆn kipu",ligert,,"Yli 2 viikon ajan ollut ajoittaista p‰‰ns‰rky‰, pahimmillaan VAS __ .",,,,,,,,,,,,,,,,,
,,,Ei,Ei ole p‰‰ns‰rky‰.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Onko sinulla kipua kaulan alueella?,Valinta ,Kyll‰,Kipua on kaulan alueella.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Ei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Onko sinulla selv‰‰ niskaj‰ykyytt‰?,Valinta ,Kyll‰,Niskaj‰ykkyytt‰.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Ei,Ei selv‰‰ niskaj‰ykkyytt‰.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Onko sinulla hengenahdistusta?,Valinta ,Kyll‰,,Milloin hengenahdistus on alkanut?,valinta,Hengenahdistus on alkanut t‰n‰‰n,T‰n‰‰n on alkanut hengenahdistus.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Hengenahdistusta on ollut 1-3 vrk ajan,,Valitse seuraavista parhaiten sopiva vaihtoehto,valinta,Hengenahdistus on helpottamassa,"1-3 vrk ajan ollut hengenahdistusta, joka on helpottamassa.",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Hengenahdistus on pysynyt samanlaisena,1-3 vrk ajan ollut tasaista hengenahdistusta.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Hengenahdistus on pahenemassa,1-3 vrk ajan ollut pahenevaa hengenahdistusta.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Hengenahdistusta on ollut 4-6 vrk ajan,,Valitse seuraavista parhaiten sopiva vaihtoehto,valinta,Hengenahdistus on helpottamassa,"4-6 vrk ajan ollut hengenahdistusta, joka on helpottamassa.",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Hengenahdistus on pysynyt samanlaisena,4-6 vrk ajan ollut tasaista hengenahdistusta.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Hengenahdistus on pahenemassa,4-6 vrk ajan ollut pahenevaa hengenahdistusta.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Hengenahdistusta on ollut 1-2 vko ajan,,Valitse seuraavista parhaiten sopiva vaihtoehto,valinta,Hengenahdistus on helpottamassa,"1-2 vko ajan ollut hengenahdistusta, joka on helpottamassa.",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Hengenahdistus on pysynyt samanlaisena,1-2 vko ajan ollut tasaista hengenahdistusta.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Hengenahdistus on pahenemassa,1-2 vko ajan ollut pahenevaa hengenahdistusta.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Hengenahdistusta on ollut yli 2 vko ajan,,Valitse seuraavista parhaiten sopiva vaihtoehto,valinta,Hengenahdistus on helpottamassa,"Yli 2 vko ajan ollut hengenahdistusta, joka on helpottamassa.",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Hengenahdistus on pysynyt samanlaisena,Yli 2 vko ajan ollut tasaista hengenahdistusta.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Hengenahdistus on pahenemassa,Yli 2 vko ajan ollut pahenevaa hengenahdistusta.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Ei,Ei hengenahdistusta.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,En osaa sanoa,,Heng‰stytkˆ normaalia herkemmin rasituksessa?,valinta,Kyll‰,"Ei osaa sanoa onko hengenahdistusta, mutta heng‰styy normaalia herkemmin rasituksessa.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Ei,"Ei osaa sanoa onko hengenahdistusta, ei kuitenkaan heng‰sty normaalia herkemmin rasituksessa.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Onko sinulla ollut rintakipua?,Valinta ,Kyll‰,,Kuinka kauan rintakipua on ollut?,valinta,Rintakipu on alkanut t‰n‰‰n,"T‰n‰‰n alkanut rintakipu, ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Rintakipua on ollut 1-3 vrk ajan,,Onko rintakipu pahentunut?,valinta,Kyll‰,,Onko rintakipusi jatkuvaa vai ajoittaista vai aaltoimaista?,valinta,Rintakipu on jatkuvaa,"1-3 vrk ajan ollut pahenevaa jatkuvaa rintakipua,",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Rintakipu on aaltoilevaa ,"1-3 vrk ajan ollut pahenevaa aaltoilevaa rintakipua,",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Rintakipu on ajoittaista,"1-3 vrk ajan ollut pahenevaa ajoittaista rintakipua,",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Ei,,Valitse seuraavista sopivin vaihtoehto,valinta,Rintakipu on jatkuvaa,"1-3 vrk ajan ollut jatkuvaa rintakipua,",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Rintakipu on aaltoilevaa ,"1-3 vrk ajan ollut aaltoilevaa rintakipua,",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Rintakipu on ajoittaista,"1-3 vrk ajan ollut ajoittaista rintakipua,",,,,,,,,,,,,,,,,,,,,,
,,,,,,,Rintakipua on ollut 4-6 vrk ajan,,Onko rintakipu pahentunut?,valinta,Kyll‰,,Valitse seuraavista sopivin vaihtoehto,valinta,Rintakipu on jatkuvaa,"4-6 vrk ajan ollut pahenevaa jatkuvaa rintakipua,",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Rintakipu on aaltoilevaa ,"4-6 vrk ajan ollut pahenevaa aaltoilevaa rintakipua,",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Rintakipu on ajoittaista,"4-6 vrk ajan ollut pahenevaa ajoittaista rintakipua,",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Ei,,Valitse seuraavista sopivin vaihtoehto,valinta,Rintakipu on jatkuvaa,"4-6 vrk ajan ollut jatkuvaa rintakipua,",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Rintakipu on aaltoilevaa ,"4-6 vrk ajan ollut aaltoilevaa rintakipua,",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Rintakipu on ajoittaista,"4-6 vrk ajan ollut ajoittaista rintakipua,",,,,,,,,,,,,,,,,,,,,,
,,,,,,,Rintakipua on ollut 1-2 vko ajan,,Onko rintakipu pahentunut?,valinta,Kyll‰,,Valitse seuraavista sopivin vaihtoehto,valinta,Rintakipu on jatkuvaa,"1-2 vko ajan ollut pahenevaa jatkuvaa rintakipua,",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Rintakipu on aaltoilevaa ,"1-2 vko ajan ollut pahenevaa aaltoilevaa rintakipua,",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Rintakipu on ajoittaista,"1-2 vko ajan ollut pahenevaa ajoittaista rintakipua,",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Ei,,Valitse seuraavista sopivin vaihtoehto,valinta,Rintakipu on jatkuvaa,"1-2 vko ajan ollut jatkuvaa rintakipua,",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Rintakipu on aaltoilevaa ,"1-2 vko ajan ollut aaltoilevaa rintakipua,",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Rintakipu on ajoittaista,"1-2 vko ajan ollut ajoittaista rintakipua,",,,,,,,,,,,,,,,,,,,,,
,,,,,,,Rintakipua on ollut yli 2 vko ajan,,Onko rintakipu pahentunut?,valinta,Kyll‰,,Valitse seuraavista sopivin vaihtoehto,valinta,Rintakipu on jatkuvaa,"Yli 2 vko ajan ollut pahenevaa jatkuvaa rintakipua,",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Rintakipu on aaltoilevaa ,"Yli 2 vko ajan ollut pahenevaa aaltoilevaa rintakipua,",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Rintakipu on ajoittaista,"Yli 2 vko ajan ollut pahenevaa ajoittaista rintakipua,",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Ei,,Valitse seuraavista sopivin vaihtoehto,valinta,Rintakipu on jatkuvaa,"Yli 2 vko ajan ollut jatkuvaa rintakipua,",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Rintakipu on aaltoilevaa ,"Yli 2 vko ajan ollut aaltoilevaa rintakipua,",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Rintakipu on ajoittaista,"Yli 2 vko ajan ollut ajoittaista rintakipua,",,,,,,,,,,,,,,,,,,,,,
,,,Ei,Ei rintakipua.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,En osaa sanoa,Ei osaa sanoa onko rintakipua.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Onko sinulla pahoinvointia?,Valinta ,Kyll‰,Pahoinvointia.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Ei,Ei pahoinvointia.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oletko nyt oksentanut?,valinta,Kyll‰,,Kuinka kauan sinulla on ollut oksentelua?,valinta,Oksentelu on alkanut minulla t‰n‰‰n.,,Kuinka monta kertaa olet nyt oksentanut?,valinta,1-2 kertaa,"T‰n‰‰n alkanut oksentelu, oksentanut 1-2 kertaa.",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,3-5 kertaa,"T‰n‰‰n alkanut oksentelu, oksentanut 3-5 kertaa.",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,yli 5 kertaa,"T‰n‰‰n alkanut oksentelu, oksentanut yli 5 kertaa.",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Minulla on ollut oksentelua 1-3 vrk ajan.,,Kuinka monta kertaa viimeisen vuorokauden sis‰ll‰ olet oksentanut?,valinta,1-2 kertaa,"1-3 vrk ajan ollut oksentelua, viimeisen vrk aikana oksentanut 1-2 kertaa.",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,3-5 kertaa,"1-3 vrk ajan ollut oksentelua, viimeisen vrk aikana oksentanut 3-5 kertaa.",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,yli 5 kertaa,"1-3 vrk ajan ollut oksentelua, viimeisen vrk aikana oksentanut yli 5 kertaa.",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Minulla on ollut oksentelua 4-6 vrk ajan.,,Valitse seuraavista sopivin vaihtoehto.,valinta,Oksentelu on p‰ivitt‰ist‰.,,Onko oksentelu pahentunut?,valinta,Kyll‰,,Kuinka monta kertaa viimeisen vuorokauden sis‰ll‰ olet oksentanut?,valinta,1-2 kertaa,"4-6 vrk ajan ollut p‰ivitt‰ist‰ pahenevaa oksentelua, viimeisen vrk aikana oksentanut 1-2 kertaa.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,3-5 kertaa,"4-6 vrk ajan ollut p‰ivitt‰ist‰ pahenevaa oksentelua, viimeisen vrk aikana oksentanut 3-5 kertaa.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,yli 5 kertaa,"4-6 vrk ajan ollut p‰ivitt‰ist‰ pahenevaa oksentelua, viimeisen vrk aikana oksentanut yli 5 kertaa.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Ei,,Kuinka monta kertaa viimeisen vuorokauden sis‰ll‰ olet oksentanut?,valinta,1-2 kertaa,"4-6 vrk ajan ollut p‰ivitt‰ist‰ oksentelua, viimeisen vrk aikana oksentanut 1-2 kertaa.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,3-5 kertaa,"4-6 vrk ajan ollut p‰ivitt‰ist‰ oksentelua, viimeisen vrk aikana oksentanut 3-5 kertaa.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,yli 5 kertaa,"4-6 vrk ajan ollut p‰ivitt‰ist‰ oksentelua, viimeisen vrk aikana oksentanut yli 5 kertaa.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,Oksentelu on ajoittaista.,,Kuinka monta kertaa viimeisen vuorokauden sis‰ll‰ olet oksentanut?,valinta,1-2 kertaa,"4-6 vrk ajan ollut ajoittaista oksentelua, viimeisen vrk aikana oksentanut 1-2 kertaa.",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,3-5 kertaa,"4-6 vrk ajan ollut ajoittaista oksentelua, viimeisen vrk aikana oksentanut 3-5 kertaa.",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,yli 5 kertaa,"4-6 vrk ajan ollut ajoittaista oksentelua, viimeisen vrk aikana oksentanut yli 5 kertaa.",,,,,,,,,,,,,,,,,,,,,
,,,,,,,Minulla on ollut oksentelua 1-2 viikon ajan.,,Valitse seuraavista sopivin vaihtoehto.,valinta,Oksentelu on p‰ivitt‰ist‰.,,Onko oksentelu pahentunut?,valinta,Kyll‰,,Kuinka monta kertaa viimeisen vuorokauden sis‰ll‰ olet oksentanut?,valinta,1-2 kertaa,"1-2 viikon ajan ollut p‰ivitt‰ist‰, pahenevaa oksentelua, viimeisen vrk aikana oksentanut 1-2 kertaa.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,3-5 kertaa,"1-2 viikon ajan ollut p‰ivitt‰ist‰, pahenevaa oksentelua, viimeisen vrk aikana oksentanut 3-5 kertaa.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,yli 5 kertaa,"1-2 viikon ajan ollut p‰ivitt‰ist‰, pahenevaa  oksentelua, viimeisen vrk aikana oksentanut yli 5 kertaa.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Ei,,Kuinka monta kertaa viimeisen vuorokauden sis‰ll‰ olet oksentanut?,valinta,1-2 kertaa,"1-2 viikon ajan ollut p‰ivitt‰ist‰ oksentelua, viimeisen vrk aikana oksentanut 1-2 kertaa.",,,,,,,,,,,,,,,,,
