,KYSYMYSTEKSTI,TYYPPI,VAIHTOEHDOT,TEKSTI,KYSYMYSTEKSTI,TYYPPI,VAIHTOEHDOT,TEKSTI,KYSYMYSTEKSTI,TYYPPI,VAIHTOEHDOT,TEKSTI,KYSYMYSTEKSTI,TYYPPI,VAIHTOEHDOT,TEKSTI,KYSYMYSTEKSTI,TYYPPI,VAIHTOEHDOT,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Uloste on koostumukseltaan v‰lill‰ vesiripulia, v‰lill‰ lˆys‰‰ ulostetta.", vaihtelua vesiripulin ja lˆys‰n v‰lill‰.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Uloste on p‰‰s‰‰ntˆisesti lˆys‰‰ ulostetta., p‰‰s‰‰ntˆisesti lˆys‰‰ ulostetta.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Ei,,Onko sinulla nyt ummetusta?,valinta,Kyll‰,,Kuinka kauan sinulla on ollut ummetusta?,valinta,Minulla on ollut ummetusta alle viikon ajan.,Ummetusta ollut alle viikon ajan.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Minulla on ollut ummetusta 1-4 viikon ajan.,Ummetusta ollut 1-4 viikon ajan.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Minulla on ollut ummetusta yli kuukauden ajan.,Ummetusta ollut yli kuukauden ajan.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Milloin viimeksi sin‰ olet ulostanut?,valinta,Olen ulostanut viimeksi 1-3 vuorokautta sitten.,On ulostanut viimeksi 1-3 vrk sitten.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Olen ulostanut viimeksi 4-6 vuorokautta sitten.,On ulostanut viimeksi 4-6 vrk sitten.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Olen ulostanut viimeksi yli viikko sitten.,On ulostanut viimeksi yli viikko sitten.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Ei,"Ei ripulia, eik‰ ummetusta.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Onko sinulla ollut tummia ulosteita?,valinta,Kyll‰,,Kuinka kauan sinulla on ollut tummia ulosteita?,valinta,Minulla on alkanut tummat ulosteet t‰n‰‰n.,T‰n‰‰n tullut tummia ulosteita.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Minulla on ollut tummia ulosteita 1-3 vrk ajan.,1-3 vrk ajan on ollut tummia ulosteita.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Minulla on ollut tummia ulosteita 4-6 vrk ajan.,4-6 vrk ajan on ollut tummia ulosteita.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Minulla on ollut tummia ulosteita 1-2 viikon ajan.,1-2 vko ajan on ollut tummia ulosteita.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Minulla on ollut tummia ulosteita 2 viikon -1 kk ajan.,2vko -1 kk ajan on ollut tummia ulosteita.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Minulla on ollut tummia ulosteita yli 1 kk ajan.,Yli kk ajan on ollut tummia ulosteita.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Ei,Ei tummia ulosteita.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Onko sinulla nyt kirkasta verta ulostaessa tai pyyhkiess‰?,valinta,Kyll‰,,Kuinka kauan sinulla on ollut kirkasta verta ulostaessa tai pyyhkiess‰?,valinta,Kirkasta verta on ollut t‰st‰ p‰iv‰st‰ alkaen.,"T‰n‰‰n on tullut kirkasta verta,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Kirkasta verta on ollut 1-3 vrk ajan.,"1-3 vrk ajan on tullut kirkasta verta,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Kirkasta verta on ollut 4-6 vrk ajan.,"4-6 vrk ajan on tullut kirkasta verta,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Kirkasta verta on ollut 1-2 viikon ajan.,"1-2 vko ajan on tullut kirkasta verta,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Kirkasta verta on ollut 2 viikon -1 kk ajan.,"2vko -1 kk ajan on tullut kirkasta verta,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Kirkasta verta on ollut yli 1 kk ajan.,"Yli kk ajan on tullut kirkasta verta,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Onko verta tullut vain pyyhkiess‰ vai myˆs ulostaessa?,valinta,Minulla on ollut kirkasta verta ainoastaan pyyhkiess‰ ulostamisen j‰lkeen., vessapaperiin pyyhkiess‰.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Minulla on ollut kirkasta verta ulostaessa ja pyyhkiess‰., vessapaperiin pyyhkiess‰ ja ulosteen seassa.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Onko sinulla joskus todettu per‰pukamia?,valinta,Kyll‰,Potilaalla on todettu aikaisemmin per‰pukamia.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Ei,Potilaalla ei ole todettu aikaisemmin per‰pukamia.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Ei,Ei kirkasta verta ulostamisen yhteydess‰.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Onko sinulla nyt ollut myˆs kipua ulostaessa?,valinta,Kyll‰,Ollut myˆs kipua ulostamisen yhteydess‰.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Ei,Ei kipua ulostaessa.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Ei,Ulostaminen normaalia/entisenlaista.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,En osaa sanoa,Ei osaa sanoa onko ulostaminen normaalista poikkeavaa.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Onko sinulla viime aikoina ollut pahoinvointia?,valinta,Kyll‰,,Kuinka kauan sinulla on ollut pahoinvointia ?,valinta,Pahoinvointi on alkanut minulla t‰n‰‰n.,T‰st‰ p‰iv‰st‰ alkaen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Minulla on ollut pahoinvointia 1-3 vuorokauden ajan.,1-3 vrk ajan ollut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Minulla on ollut pahoinvointia 4-6 vuorokauden ajan.,4-6 vrk ajan ollut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Minulla on ollut pahoinvointia 1-2 viikon ajan.,1-2 viikon ajan ollut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Minulla on ollut pahoinvointia 2 viikon - 1kk ajan.,2 viikon - 1kk ajan ollut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Minulla on ollut pahoinvointia yli 1 kk ajan.,Yli 1 kk ajan ollut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Onko pahoinvointi ollut jatkuvaa vai ajoittaista vai aaltomaista?,valinta,Minulla on koko ajan jatkuvaa pahoinvointia.,,Paheneeko pahoinvointisi koko ajan?,valinta,Kyll‰,"jatkuvaa, pahenevaa pahoinvointia.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Ei,"jatkuvaa pahoinvointia, joka ei ole pahentunut.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Minulla pahoinvointi vaihtelee (v‰lill‰ helpottaa, mutta ei poistu kokonaan).",,Paheneeko pahoinvointisi koko ajan?,valinta,Kyll‰,"aaltoilevaa, pahenevaa pahoinvointia.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Ei,"aaltoilevaa pahoinvointia, ei ole pahentunut.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Minulla on pahoinvointia ajoittain (poistuu kokonaan v‰lill‰).,,Paheneeko pahoinvointisi koko ajan?,valinta,Kyll‰,"ajoittaista, pahenevaa pahoinvointia.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Ei,"ajoittaista pahoinvointia, ei ole pahentunut.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Ei,Ei pahoinvointia.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oletko viime aikoina oksentanut?,valinta,Kyll‰,,Kuinka kauan sinulla on ollut oksentelua?,valinta,Oksentelu on alkanut minulla t‰n‰‰n.,,Kuinka monta kertaa viimeisen vuorokauden sis‰ll‰ olet oksentanut?,valinta,1-2 kertaa,"T‰n‰‰n alkanut oksentelu, viimeisen vrk aikana oksentanut 1-2 kertaa.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,3-5 kertaa,"T‰n‰‰n alkanut oksentelu, viimeisen vrk aikana oksentanut 3-5 kertaa.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,yli 5 kertaa,"T‰n‰‰n alkanut oksentelu, viimeisen vrk aikana oksentanut yli 5 kertaa.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Minulla on ollut oksentelua 1-3 vuorokauden ajan.,,Kuinka monta kertaa viimeisen vuorokauden sis‰ll‰ olet oksentanut?,valinta,1-2 kertaa,"1-3 vrk ajan ollut oksentelua, viimeisen vrk aikana oksentanut 1-2 kertaa.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,3-5 kertaa,"1-3 vrk ajan ollut oksentelua, viimeisen vrk aikana oksentanut 3-5 kertaa.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,yli 5 kertaa,"1-3 vrk ajan ollut oksentelua, viimeisen vrk aikana oksentanut yli 5 kertaa.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Minulla on ollut oksentelua 4-6 vuorokauden ajan.,,Onko oksentelu pahentunut?,valinta,Kyll‰,,Kuinka monta kertaa viime vuorokauden sis‰ll‰ olet oksentanut?,valinta,1-2 kertaa,"4-6 vrk ajan ollut pahenevaa oksentelua, viimeisen vrk aikana oksentanut 1-2 kertaa.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,3-5 kertaa,"4-6 vrk ajan ollut pahenevaa oksentelua, viimeisen vrk aikana oksentanut 3-5 kertaa.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,yli 5 kertaa,"4-6 vrk ajan ollut pahenevaa oksentelua, viimeisen vrk aikana oksentanut yli 5 kertaa.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Ei,,Kuinka monta kertaa viime vuorokauden sis‰ll‰ olet oksentanut?,valinta,1-2 kertaa,"4-6 vrk ajan ollut oksentelua, viimeisen vrk aikana oksentanut 1-2 kertaa.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,3-5 kertaa,"4-6 vrk ajan ollut oksentelua, viimeisen vrk aikana oksentanut 3-5 kertaa.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,yli 5 kertaa,"4-6 vrk ajan ollut oksentelua, viimeisen vrk aikana oksentanut yli 5 kertaa.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Minulla on ollut oksentelua 1-2 viikon ajan.,,Onko viime p‰ivin‰ oksentelu pahentunut?,valinta,Kyll‰,,Kuinka monta kertaa viimeisen vuorokauden sis‰ll‰ olet oksentanut?,valinta,1-2 kertaa,"1-2 viikon ajan ollut pahenevaa oksentelua, viimeisen vrk aikana oksentanut 1-2 kertaa.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,3-5 kertaa,"1-2 viikon ajan ollut pahenevaa oksentelua,  viimeisen vrk aikana oksentanut 3-5 kertaa.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,yli 5 kertaa,"1-2 viikon ajan ollut pahenevaa oksentelua, viimeisen vrk aikana oksentanut yli 5 kertaa.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Ei,,Kuinka monta kertaa viimeisen vuorokauden sis‰ll‰ olet oksentanut?,valinta,1-2 kertaa,"1-2 viikon ajan ollut oksentelua, viimeisen vrk aikana oksentanut 1-2 kertaa.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,3-5 kertaa,"1-2 viikon ajan ollut oksentelua, viimeisen vrk aikana oksentanut 3-5 kertaa.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,yli 5 kertaa,"1-2 viikon ajan ollut oksentelua, viimeisen vrk aikana oksentanut yli 5 kertaa.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Minulla on ollut oksentelua 2 viikon - 1kk ajan.,,Onko viime p‰ivin‰ oksentelu pahentunut?,valinta,Kyll‰,,Kuinka monta kertaa viimeisen vuorokauden sis‰ll‰ olet oksentanut?,valinta,1-2 kertaa,"2 viikon - 1 kk ajan ollut pahenevaa oksentelua, viimeisen vrk aikana oksentanut 1-2 kertaa.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,3-5 kertaa,"2 viikon - 1 kk ajan ollut pahenevaa oksentelua, viimeisen vrk aikana oksentanut 3-5 kertaa.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,yli 5 kertaa,"2 viikon - 1 kk ajan ollut pahenevaa oksentelua, viimeisen vrk aikana oksentanut yli 5 kertaa.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Ei,,Kuinka monta kertaa viimeisen vuorokauden sis‰ll‰ olet oksentanut?,valinta,1-2 kertaa,"2 viikon - 1 kk ajan ollut oksentelua, viimeisen vrk aikana oksentanut 1-2 kertaa.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,3-5 kertaa,"2 viikon - 1 kk ajan ollut oksentelua, viimeisen vrk aikana oksentanut 3-5 kertaa.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,yli 5 kertaa,"2 viikon - 1 kk ajan ollut oksentelua, viimeisen vrk aikana oksentanut yli 5 kertaa.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Minulla on ollut oksentelua yli kuukauden ajan.,,Onko viime p‰ivin‰ oksentelu pahentunut?,valinta,Kyll‰,,Kuinka monta kertaa viimeisen vuorokauden sis‰ll‰ olet oksentanut?,valinta,1-2 kertaa,"Yli 1 kk ajan ollut pahenevaa oksentelua, viimeisen vrk aikana oksentanut 1-2 kertaa.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,3-5 kertaa,"Yli 1 kk ajan ollut pahenevaa oksentelua, viimeisen vrk aikana oksentanut 3-5 kertaa.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,yli 5 kertaa,"Yli 1 kk ajan ollut pahenevaa oksentelua, viimeisen vrk aikana oksentanut yli 5 kertaa.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Ei,,Kuinka monta kertaa viimeisen vuorokauden sis‰ll‰ olet oksentanut?,valinta,1-2 kertaa,"Yli 1 kk ajan ollut oksentelua, viimeisen vrk aikana oksentanut 1-2 kertaa.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,3-5 kertaa,"Yli 1 kk ajan ollut oksentelua, viimeisen vrk aikana oksentanut 3-5 kertaa.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,yli 5 kertaa,"Yli 1 kk ajan ollut oksentelua, viimeisen vrk aikana oksentanut yli 5 kertaa.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Onko tullut verta oksennuksen mukana?,valinta,Kyll‰,,Milloin verta on tullut ensimm‰isen kerran oksennuksen mukana?,valinta,T‰n‰‰n,,Kuinka monta kertaa verta on tullut oksennuksen mukana?,valinta,Kerran,T‰n‰‰n on kerran tullut oksennuksen seassa verta.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,2-3 kertaa,T‰n‰‰n on 2-3 kertaa tullut oksennuksen seassa verta.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Yli 3 kertaa,T‰n‰‰n on yli 3 kertaa tullut oksennuksen seassa  verta.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1-3 vrk:tta sitten,,Kuinka monta kertaa verta on tullut oksennuksen mukana?,valinta,Kerran,1-3 vrk sitten on ollut kertaalleen oksennuksen seassa verta.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,2-4 kertaa,1-3 vrk aikana on ollut 2-4 kertaa oksennuksen seassa verta.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,yli 5 kertaa,1-3 vrk aikana on ollut yli 5 kertaa oksennuksen seassa verta.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,4-6 vrk:tta sitten,,Kuinka monta kertaa verta on tullut oksennuksen mukana?,valinta,Kerran,4-6 vrk sitten on kertaalleen oksennuksen seassa on ollut verta.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,2-4 kertaa,,Milloin viimeksi on verta tullut oksennuksen seassa?,valinta,T‰n‰‰n,"4-6 vrk aikana on ollut 2-4 kertaa oksennuksen seassa verta, viimeksi t‰n‰‰n.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1-2 vrk:tta sitten,"4-6 vrk aikana on ollut 2-4 kertaa oksennuksen seassa verta, viimeksi 1-2 vrk:tta sitten.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Yli 2 vrk:tta sitten,"4-6 vrk aikana on ollut 2-4 kertaa oksennuksen seassa verta, viimeksi yli 2 vrk:tta sitten.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,yli 5 kertaa,,Milloin viimeksi on verta tullut oksennuksen seassa?,valinta,T‰n‰‰n,"4-6 vrk aikana on tullut yli 5 kertaa oksennuksen seassa verta, viimeksi t‰n‰‰n.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1-2 vrk:tta sitten,"4-6 vrk aikana on ollut yli 5 kertaa oksennuksen seassa verta, viimeksi 1-2 vrk:tta sitten.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Yli 2 vrk:tta sitten,"4-6 vrk aikana on ollut yli 5ckertaa oksennuksen seassa verta, viimeksi yli 2 vrk:tta sitten.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1-2 viikkoa sitten,,Kuinka monta kertaa verta on tullut oksennuksen mukana?,valinta,Kerran,1-2 vko sitten on kertaalleen oksennuksen seassa on ollut verta.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,2-4 kertaa,,Milloin viimeksi on verta tullut oksennuksen seassa?,valinta,T‰n‰‰n,"1-2 viikon aikana on ollut 2-4 kertaa oksennuksen seassa verta, viimeksi t‰n‰‰n.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1-3 vrk:tta sitten,"1-2 viikon aikana on ollut 2-4 kertaa oksennuksen seassa verta, viimeksi 1-3 vrk:tta sitten.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,4-6 vrk:tta sitten,"1-2 viikon aikana on ollut 2-4 kertaa oksennuksen seassa verta, viimeksi 4-6 vrk:tta sitten.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Yli viikko sitten,"1-2 viikon aikana on ollut 2-4 kertaa oksennuksen seassa verta, viimeksi yli viikko sitten.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,yli 5 kertaa,,Milloin viimeksi on verta tullut oksennuksen seassa?,valinta,T‰n‰‰n,"1-2 viikon aikana on ollut yli 5 kertaa oksennuksen seassa verta, viimeksi t‰n‰‰n.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1-3 vrk:tta sitten,"1-2 viikon aikana on ollut yli 5 kertaa oksennuksen seassa verta, viimeksi 1-3 vrk:tta sitten.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,4-6 vrk:tta sitten,"1-2 viikon aikana on ollut yli 5 kertaa oksennuksen seassa verta, viimeksi 4-6 vrk:tta sitten.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Yli viikko sitten,"1-2 viikon aikana on ollut yli 5 kertaa oksennuksen seassa verta, viimeksi yli viikko sitten.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Yli 2 viikkoa sitten,,Kuinka monta kertaa verta on tullut oksennuksen mukana?,valinta,Kerran,Yli 2 vko sitten on kertaalleen oksennuksen seassa on ollut verta.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,2-4 kertaa,,Milloin viimeksi on verta tullut oksennuksen seassa?,valinta,T‰n‰‰n,"Yli 2 viikon aikana on ollut 2-4 kertaa oksennuksen seassa verta, viimeksi t‰n‰‰n.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1-3 vrk:tta sitten,"Yli 2 viikon aikana on ollut 2-4 kertaa oksennuksen seassa verta, viimeksi 1-3 vrk:tta sitten.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,4-6 vrk:tta sitten,"Yli 2 viikon aikana on ollut 2-4 kertaa oksennuksen seassa verta, viimeksi 4-6 vrk:tta sitten.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Yli viikko sitten,"Yli 2 viikon aikana on ollut 2-4 kertaa oksennuksen seassa verta, viimeksi yli viikko sitten.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,yli 5 kertaa,,Milloin viimeksi on verta tullut oksennuksen seassa?,valinta,T‰n‰‰n,"Yli 2 viikon aikana on ollut yli 5 kertaa oksennuksen seassa verta, viimeksi t‰n‰‰n.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1-3 vrk:tta sitten,"Yli 2 viikon aikana on ollut yli 5 kertaa oksennuksen seassa verta, viimeksi 1-3 vrk:tta sitten.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,4-6 vrk:tta sitten,"Yli 2 viikon aikana on ollut yli 5 kertaa oksennuksen seassa verta, viimeksi 4-6 vrk:tta sitten.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Yli viikko sitten,"Yli 2 viikon aikana on ollut yli 5 kertaa oksennuksen seassa verta, viimeksi yli viikko sitten.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Ei,Ei verta oksennuksen seassa.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,En osaa sanoa,Ei osaa sanoa onko tullut verta oksennuksen mukana.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Ei,Ei oksentelua.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Onko sinulla viime aikoina ollut n‰r‰styst‰?,valinta,Kyll‰,,Valitse seuraavista parhaiten sopiva vaihtoehto,valinta,N‰r‰styst‰ on esiintynyt p‰ivitt‰in.,N‰r‰styst‰ p‰ivitt‰in.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,N‰r‰styst‰ on esiintynyt ajoittain.,N‰r‰styst‰ ajoittain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Ei,Ei n‰r‰styst‰.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,En osaa sanoa,Ei osaa sanoa onko ollut n‰r‰styst‰.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAISET,"Onko sinulla viime aikoina esiintynyt poikkeavia gynekologisia oireita (vuotoa, kipua, kirvely‰ yms)",valinta,Kyll‰,,Onko sinulla nyt ollut poikkeavaa vuotoa em‰ttimest‰.,valinta,Kyll‰,,Kuinka kauan sinulla on ollut poikkeavaa vuotoa?,valinta,Oireet ovat alkaneet minulla t‰n‰‰n.,,Mink‰laista vuotoa sinulla on ollut?,valinta,Minulla on lis‰‰ntynytt‰ valkovuotoa,T‰n‰‰n tullut norm. enemm‰n valkovuotoa.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Minulla on kellert‰v‰‰ vuotoa,T‰n‰‰n tullut kellert‰v‰‰ vuotoa em‰ttimest‰.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Minulla on rusehtavaa vuotoa,T‰n‰‰n tullut rusehtavaa vuotoa em‰ttimest‰.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Minulla on verist‰ vuotoa,T‰n‰‰n alkanut verinen vuoto em‰ttimest‰.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"Minulla on poikkeavaa vuotoa, mutta en osaa sanoa mill‰ tavalla poikkeavaa.","T‰n‰‰n alkanut poikkeava vuoto em‰ttimest‰, ei osaa sanoa mill‰ tavalla poikkeavaa.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Minulla on ollut oireita 1-3 vrk ajan.,,Mink‰laista vuotoa sinulla on ollut?,valinta,Minulla on lis‰‰ntynytt‰ valkovuotoa,1-3 vrk ajan ollut norm. enemm‰n valkovuotoa.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Minulla on kellert‰v‰‰ vuotoa,1-3 vrk ajan ollut kellert‰v‰‰ vuotoa em‰ttimest‰.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Minulla on rusehtavaa vuotoa,1-3 vrk ajan ollut rusehtavaa vuotoa em‰ttimest‰.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Minulla on verist‰ vuotoa,1-3 vrk ajan ollut verist‰ vuotoa em‰ttimest‰.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
